TRADEDATE,fac_TOPEN,fac_THIGH,fac_TLOW,fac_TCLOSE,TVOLUME
2000-06-29 00:00:00.000,926.1823,928.7337,918.5279,922.0999,6150300
2000-06-30 00:00:00.000,922.6102,931.7955,913.4249,925.1617,7280000
2000-07-03 00:00:00.000,918.5279,920.0587,903.2191,905.2602,5522900
2000-07-04 00:00:00.000,902.1985,918.0176,897.6058,910.3632,5034300
2000-07-05 00:00:00.000,910.8735,911.3838,898.1161,901.6882,3682800
2000-07-06 00:00:00.000,901.6882,910.8735,901.1779,904.2397,2437000
2000-07-07 00:00:00.000,905.7705,921.0793,903.2191,915.4661,2388700
2000-07-10 00:00:00.000,918.5279,923.6308,903.2191,903.7294,4305100
2000-07-11 00:00:00.000,905.2602,926.6926,904.7499,920.0587,4433100
2000-07-12 00:00:00.000,920.0587,946.5940,917.5073,929.2440,7092600
2000-07-13 00:00:00.000,929.2440,938.9396,915.9764,918.5279,5116000
2000-07-14 00:00:00.000,918.5279,922.6102,910.8735,916.4867,3826200
2000-07-17 00:00:00.000,917.5073,918.5279,905.7705,909.3426,3888700
2000-07-18 00:00:00.000,910.8735,918.5279,907.3014,910.3632,1567200
2000-07-19 00:00:00.000,915.9764,933.3264,910.3632,920.5690,3657300
2000-07-20 00:00:00.000,922.6102,926.1823,908.3220,913.4249,2677500
2000-07-21 00:00:00.000,913.4249,921.0793,907.3014,910.3632,3522800
2000-07-24 00:00:00.000,909.8529,909.8529,902.7088,904.2397,3640100
2000-07-25 00:00:00.000,905.7705,912.4043,902.7088,907.3014,4026800
2000-07-26 00:00:00.000,897.0956,916.9970,897.0956,903.2191,3104200
2000-07-27 00:00:00.000,912.4043,993.5410,910.8735,968.5366,64471000
2000-07-28 00:00:00.000,959.3513,968.0263,941.4911,942.5117,17627300
2000-07-31 00:00:00.000,944.5528,962.9234,941.4911,944.5528,8213500
2000-08-01 00:00:00.000,946.5940,961.9028,945.5734,947.6146,4833100
2000-08-02 00:00:00.000,950.1661,957.8204,928.7337,931.7955,5439000
2000-08-03 00:00:00.000,933.8367,947.1043,924.1411,930.7749,7285900
2000-08-04 00:00:00.000,931.2852,940.4705,917.5073,931.2852,9967700
2000-08-07 00:00:00.000,934.3470,949.1455,928.7337,933.8367,3137900
2000-08-08 00:00:00.000,936.3881,938.9396,923.6308,929.2440,4515200
2000-08-09 00:00:00.000,928.7337,948.1249,926.1823,936.3881,4407000
2000-08-10 00:00:00.000,936.3881,940.4705,928.7337,929.7543,4499000
2000-08-11 00:00:00.000,930.2646,941.4911,928.7337,933.3264,4666800
2000-08-14 00:00:00.000,936.3881,961.9028,934.8573,944.5528,6784200
2000-08-15 00:00:00.000,944.0425,948.6352,932.8161,933.8367,2855300
2000-08-16 00:00:00.000,938.9396,948.6352,930.7749,939.9602,4656000
2000-08-17 00:00:00.000,939.9602,967.0057,938.9396,948.1249,8308300
2000-08-18 00:00:00.000,949.1455,954.2484,941.4911,943.0219,3453900
2000-08-21 00:00:00.000,944.0425,954.2484,937.9190,938.9396,5139500
2000-08-22 00:00:00.000,938.9396,944.0425,923.6308,925.1617,4434000
2000-08-23 00:00:00.000,923.6308,933.8367,903.7294,923.1205,8761600
2000-08-24 00:00:00.000,922.6102,938.4293,915.9764,923.6308,5012500
2000-08-25 00:00:00.000,926.1823,928.7337,918.5279,923.6308,3101700
2000-08-28 00:00:00.000,926.1823,933.3264,919.5485,922.6102,3371300
2000-08-29 00:00:00.000,922.6102,926.1823,918.5279,920.0587,3767700
2000-08-30 00:00:00.000,921.0793,923.6308,910.8735,912.9146,5050400
2000-08-31 00:00:00.000,912.9146,916.4867,904.2397,905.7705,4360000
2000-09-01 00:00:00.000,903.2191,910.8735,899.6470,905.2602,3858000
2000-09-04 00:00:00.000,903.2191,908.3220,891.9926,900.6676,3698100
2000-09-05 00:00:00.000,904.7499,905.2602,873.6221,878.2147,3913900
2000-09-06 00:00:00.000,875.6632,877.1941,858.3133,859.3338,5202800
2000-09-07 00:00:00.000,859.3338,877.7044,857.8030,867.4985,3011200
